Ticker,Direction,Target,Hour,NumObs,Years,NumTrades,TradeFreq,Win%,AvgLoss,AvgProfit,AvgPnL,Expectancy,BestDay,WorstDay,Annual%,MaxDD%,Sharpe,ProfitDD,UPI
NQ,longonly,Ret_fwd6hr,2,2900,11.51,316,10.9,52.2,-0.43,0.49,0.05,0.05,3.59,-2.71,1.42,7.85,0.40,0.18,0.48
NQ,shortonly,Ret_fwd6hr,2,2900,11.51,301,10.4,52.8,-0.24,0.26,0.03,0.03,1.48,-1.62,0.69,4.67,0.38,0.15,0.44
NQ,shortonly,Ret_fwd6hr,0,2750,10.91,291,10.6,47.1,-0.26,0.28,-0.00,-0.00,2.20,-1.65,-0.11,9.72,-0.05,-0.01,-0.02
NQ,longonly,Ret_fwd6hr,0,2750,10.91,334,12.1,56.3,-0.37,0.44,0.09,0.09,8.61,-1.57,2.59,5.90,0.62,0.44,1.01
NQ,longonly,Ret_fwd6hr,17,2600,10.32,283,10.9,53.0,-0.42,0.39,0.01,0.01,3.34,-4.62,0.26,10.13,0.09,0.03,0.09
NQ,shortonly,Ret_fwd6hr,17,2600,10.32,272,10.5,48.5,-0.27,0.32,0.02,0.02,3.89,-3.54,0.40,5.16,0.16,0.08,0.16
NQ,longonly,Ret_fwd6hr,23,2800,11.11,320,11.4,59.1,-0.37,0.45,0.12,0.11,6.30,-2.73,3.30,5.23,0.83,0.63,3.54
NQ,shortonly,Ret_fwd6hr,23,2800,11.11,285,10.2,47.0,-0.29,0.33,-0.00,-0.00,1.87,-3.19,-0.04,6.15,-0.01,-0.01,-0.01
NQ,longonly,Ret_fwd6hr,14,3100,12.30,281,9.1,57.3,-0.51,0.59,0.12,0.12,3.31,-5.90,2.75,6.06,0.68,0.45,2.07
NQ,shortonly,Ret_fwd6hr,14,3100,12.30,328,10.6,43.9,-0.46,0.52,-0.03,-0.03,4.30,-4.80,-0.78,15.54,-0.18,-0.05,-0.10
NQ,longonly,Ret_fwd6hr,6,3200,12.70,306,9.6,56.5,-0.67,0.59,0.04,0.04,4.63,-4.60,0.94,12.33,0.23,0.08,0.28
NQ,longonly,Ret_fwd6hr,19,2950,11.71,363,12.3,55.9,-0.28,0.31,0.05,0.05,1.92,-3.94,1.62,5.99,0.60,0.27,0.90
NQ,shortonly,Ret_fwd6hr,19,2950,11.71,339,11.5,44.2,-0.22,0.33,0.02,0.02,5.36,-2.53,0.59,7.64,0.21,0.08,0.15
NQ,shortonly,Ret_fwd6hr,6,3200,12.70,345,10.8,46.1,-0.57,0.61,-0.03,-0.03,2.45,-2.93,-0.81,10.85,-0.18,-0.07,-0.11
NQ,longonly,Ret_fwd6hr,16,3100,12.30,325,10.5,58.8,-0.33,0.32,0.05,0.05,2.49,-2.18,1.28,5.12,0.54,0.25,0.65
NQ,longonly,Ret_fwd6hr,21,2900,11.51,334,11.5,61.7,-0.30,0.36,0.10,0.10,3.51,-2.91,3.03,3.37,1.00,0.90,6.35
NQ,shortonly,Ret_fwd6hr,16,3100,12.30,354,11.4,45.5,-0.30,0.31,-0.02,-0.02,4.54,-2.35,-0.72,13.41,-0.26,-0.05,-0.10
NQ,shortonly,Ret_fwd6hr,21,2900,11.51,328,11.3,48.2,-0.21,0.22,-0.00,-0.00,3.89,-2.00,-0.12,7.02,-0.05,-0.02,-0.05
NQ,longonly,Ret_fwd6hr,4,3250,12.90,350,10.8,47.1,-0.51,0.54,-0.01,-0.02,3.98,-4.43,-0.47,14.64,-0.10,-0.03,-0.07
NQ,longonly,Ret_fwd6hr,12,3200,12.70,348,10.9,58.3,-0.73,0.68,0.09,0.09,11.67,-6.99,2.37,12.79,0.41,0.19,0.80
NQ,shortonly,Ret_fwd6hr,4,3250,12.90,329,10.1,48.0,-0.43,0.53,0.03,0.03,2.37,-3.60,0.72,9.02,0.23,0.08,0.19
NQ,shortonly,Ret_fwd6hr,12,3200,12.70,340,10.6,47.4,-0.42,0.54,0.04,0.04,3.75,-1.98,0.99,6.74,0.29,0.15,0.29
NQ,longonly,Ret_fwd6hr,10,3300,13.10,346,10.5,58.7,-0.69,0.67,0.10,0.10,10.37,-5.44,2.64,7.05,0.49,0.37,1.16
NQ,longonly,Ret_fwd6hr,8,3300,13.10,375,11.4,54.4,-0.73,0.80,0.10,0.10,11.28,-2.84,2.67,10.73,0.44,0.25,0.61
NQ,shortonly,Ret_fwd6hr,10,3300,13.10,351,10.6,45.0,-0.71,0.92,0.02,0.02,5.13,-6.64,0.46,11.24,0.11,0.04,0.10
NQ,shortonly,Ret_fwd6hr,8,3300,13.10,354,10.7,46.6,-0.54,0.65,0.02,0.02,2.87,-2.72,0.33,11.98,0.10,0.03,0.08
