date,prediction,probability,actual_profitable,target_value,target_value_normalized,test_end_idx,Ret_0-1hr_value,Ret_4-8hr_value
2012-09-25 09:55:00,0,0.37,0,-1.153,-1.153,2350,-0.155,-0.172
2012-09-26 09:55:00,0,0.445,0,-0.332,-0.332,2350,-0.139,-0.104
2012-09-27 09:55:00,0,0.375,1,0.664,0.664,2350,-0.157,-0.087
2012-09-28 09:55:00,0,0.015,1,0.175,0.175,2350,-0.244,-0.225
2012-10-01 09:55:00,1,0.86,0,-0.295,-0.295,2350,0.017,0.734
2012-10-02 09:55:00,0,0.585,0,-0.191,-0.191,2350,-0.139,0.365
2012-10-03 09:55:00,0,0.215,1,0.487,0.487,2350,-0.312,0.191
2012-10-04 09:55:00,1,0.735,1,0.396,0.396,2350,-0.034,-0.069
2012-10-05 09:55:00,1,0.765,0,-0.512,-0.512,2350,0.103,-0.051
2012-10-08 09:55:00,1,0.69,1,0.069,0.069,2350,-0.017,-0.189
2012-10-09 09:55:00,0,0.015,0,-0.743,-0.743,2350,-0.327,-0.292
2012-10-10 09:55:00,0,0.44,0,-0.436,-0.436,2350,-0.139,-0.122
2012-10-11 09:55:00,1,0.88,0,-0.47,-0.47,2350,0.105,0.368
2012-10-12 09:55:00,1,0.735,0,-0.611,-0.611,2350,0.035,-0.087
2012-10-15 09:55:00,0,0.575,1,0.702,0.702,2350,-0.14,0.404
2012-10-16 09:55:00,1,0.805,1,0.346,0.346,2350,0.156,-0.017
2012-10-17 09:55:00,1,0.815,1,0.224,0.224,2350,0.0,0.173
2012-10-18 09:55:00,1,0.8,0,-0.086,-0.086,2350,0.103,0.0
2012-10-19 09:55:00,0,0.1,0,-1.211,-1.211,2350,-0.259,-0.121
2012-10-22 09:55:00,1,0.81,1,0.088,0.088,2350,0.105,0.123
2012-10-23 09:55:00,0,0.015,0,-0.142,-0.142,2350,-0.248,-0.508
2012-10-24 09:55:00,0,0.585,0,-0.514,-0.514,2350,-0.124,-0.106
2012-10-25 09:55:00,1,0.79,0,-0.354,-0.354,2350,0.0,0.124
2012-10-26 09:55:00,1,0.71,1,0.089,0.089,2350,-0.107,0.09
2012-10-31 09:55:00,0,0.57,0,-0.407,-0.407,2350,-0.141,0.568
2012-11-01 09:55:00,1,0.9,1,0.495,0.495,2350,0.515,0.053
2012-11-02 09:55:00,0,0.13,0,-1.157,-1.157,2350,-0.315,-0.053
2012-11-05 09:55:00,0,0.595,1,0.552,0.552,2350,-0.124,-0.089
2012-11-06 09:55:00,1,0.875,1,0.282,0.282,2350,0.176,0.23
2012-11-07 09:55:00,0,0.245,0,-0.979,-0.979,2350,-0.584,0.281
2012-11-08 09:55:00,1,0.74,0,-1.506,-1.506,2350,0.108,-0.162
2012-11-09 09:55:00,1,0.755,1,0.127,0.127,2350,0.365,-0.706
2012-11-12 09:55:00,1,0.74,0,-0.236,-0.236,2350,-0.072,-0.036
2012-11-13 09:55:00,1,0.755,0,-0.363,-0.363,2350,0.493,-0.237
2012-11-14 09:55:00,0,0.165,0,-1.421,-1.421,2350,-0.236,0.054
2012-11-15 09:55:00,1,0.86,0,-0.111,-0.111,2350,0.0,0.258
2012-11-16 09:55:00,0,0.095,1,0.742,0.742,2350,-0.59,-0.185
2012-11-19 09:55:00,1,0.985,1,0.508,0.508,2350,0.401,0.294
2012-11-20 09:55:00,1,0.845,1,0.271,0.271,2350,-0.072,0.254
2012-11-21 09:55:00,1,0.86,1,0.054,0.054,2350,-0.018,0.271
2012-11-22 09:55:00,1,0.79,0,-0.126,-0.126,2350,0.0,0.09
2012-11-23 09:55:00,1,0.755,1,0.34,0.34,2350,0.251,-0.233
2012-11-26 09:55:00,1,0.795,1,0.214,0.214,2350,0.071,0.036
2012-11-27 09:55:00,1,0.65,0,-0.569,-0.569,2350,0.107,-0.32
2012-11-28 09:55:00,0,0.25,1,1.386,1.386,2350,-0.198,-0.018
2012-11-29 09:55:00,1,0.94,0,-0.106,-0.106,2350,0.23,0.283
2012-11-30 09:55:00,1,0.78,0,-0.018,-0.018,2350,-0.106,0.265
2012-12-03 09:55:00,0,0.425,0,-0.81,-0.81,2350,-0.176,0.159
2012-12-04 09:55:00,1,0.845,0,-0.178,-0.178,2350,0.124,0.178
2012-12-05 09:55:00,0,0.17,1,0.196,0.196,2350,-0.195,-0.195
2012-12-06 09:55:00,1,0.885,1,0.355,0.355,2350,0.178,0.231
2012-12-07 09:55:00,0,0.1,1,0.177,0.177,2350,-0.317,-0.124
2012-12-10 09:55:00,1,0.655,0,0.0,0.0,2350,0.159,-0.371
2012-12-11 09:55:00,1,0.985,0,-0.035,-0.035,2350,0.299,0.3
2012-12-12 09:55:00,0,0.425,0,-0.227,-0.227,2350,-0.174,0.157
2012-12-13 09:55:00,1,0.73,0,-0.595,-0.595,2350,0.14,-0.14
2012-12-14 09:55:00,0,0.465,0,-0.124,-0.124,2350,-0.142,-0.035
2012-12-17 09:55:00,1,0.755,1,0.6,0.6,2350,0.265,-0.212
2012-12-18 09:55:00,0,0.615,1,1.087,1.087,2350,-0.123,-0.07
2012-12-19 09:55:00,0,0.175,0,-0.556,-0.556,2350,-0.381,0.087
2012-12-20 09:55:00,0,0.235,1,0.718,0.718,2350,-0.297,0.227
2012-12-21 09:55:00,1,0.905,1,0.123,0.123,2350,0.317,-0.018
2012-12-24 09:55:00,0,0.21,1,0.176,0.176,2350,-0.211,0.106
2012-12-26 09:55:00,0,0.63,0,-0.545,-0.545,2350,0.018,-0.316
2012-12-27 09:55:00,1,0.71,0,-0.124,-0.124,2350,-0.088,0.0
2012-12-28 09:55:00,1,0.74,0,-0.57,-0.57,2350,0.089,-0.106
2012-12-31 09:55:00,1,0.905,1,1.481,1.481,2350,0.376,0.018
2013-01-02 09:55:00,1,0.985,1,0.413,0.413,2350,0.346,1.226
2013-01-03 09:55:00,1,0.71,0,-0.034,-0.034,2350,-0.086,0.017
2013-01-04 09:55:00,1,0.81,1,0.206,0.206,2350,0.086,0.086
2013-01-07 09:55:00,1,0.71,1,0.172,0.172,2350,-0.086,-0.017
2013-01-08 09:55:00,1,0.76,1,0.017,0.017,2350,-0.103,0.207
2013-01-09 09:55:00,1,0.77,0,-0.154,-0.154,2350,0.206,-0.052
2013-01-10 09:55:00,1,0.765,1,0.291,0.291,2350,-0.051,0.017
2013-01-11 09:55:00,0,0.17,1,0.256,0.256,2350,-0.222,0.0
2013-01-14 09:55:00,0,0.145,1,0.222,0.222,2350,-0.222,-0.034
2013-01-15 09:55:00,1,0.805,1,0.394,0.394,2350,0.137,0.068
2013-01-16 09:55:00,1,0.745,1,0.154,0.154,2350,0.171,-0.102
2013-01-17 09:55:00,1,0.735,1,0.204,0.204,2350,-0.085,0.154
2013-01-18 09:55:00,1,0.685,1,0.305,0.305,2350,-0.085,-0.034
2013-01-21 09:55:00,1,0.775,1,0.101,0.101,2350,0.034,0.051
2013-01-22 09:55:00,1,0.765,1,0.456,0.456,2350,0.135,-0.051
2013-01-23 09:55:00,1,0.785,1,0.168,0.168,2350,0.034,0.067
2013-01-24 09:55:00,1,0.91,0,-0.234,-0.234,2350,0.285,0.067
2013-01-25 09:55:00,1,0.88,1,0.1,0.1,2350,0.084,0.352
2013-01-28 09:55:00,0,0.13,1,0.1,0.1,2350,-0.267,-0.067
2013-01-29 09:55:00,1,0.75,1,0.401,0.401,2350,0.234,-0.351
2013-01-30 09:55:00,1,0.86,0,-0.366,-0.366,2350,0.083,0.2
2013-01-31 09:55:00,1,0.87,0,-0.284,-0.284,2350,0.251,-0.05
2013-02-01 09:55:00,0,0.16,1,0.516,0.516,2350,-0.233,0.033
2013-02-04 09:55:00,1,0.735,0,-0.633,-0.633,2350,0.1,-0.149
2013-02-05 09:55:00,1,0.985,1,0.216,0.216,2350,0.25,0.318
2013-02-06 09:55:00,1,0.84,1,0.233,0.233,2350,0.317,-0.149
2013-02-07 09:55:00,1,0.78,0,-0.066,-0.066,2350,-0.116,0.266
2013-02-08 09:55:00,1,0.84,1,0.033,0.033,2350,0.381,-0.133
2013-02-11 09:55:00,1,0.745,1,0.083,0.083,2350,-0.099,0.182
2013-02-12 09:55:00,1,0.775,1,0.182,0.182,2350,-0.05,0.149
