Feature,Target,R2_Score,Coefficient,Correlation
Ret1,FRet6,0.9695233878301149,-1.002019249667879,-0.984643787280513
Ret4,FRet7,0.29673209630325725,-0.4361543648503714,-0.54473121473187
Ret2,FRet7,0.16821573792645061,-0.9325048134731019,-0.4101411195265006
Ret1,FRet7,0.07283631668127921,-0.7060626730326256,-0.2698820421615331
Ret3,FRet7,0.04098201538318047,-0.4933048687564036,-0.20244015259621934
Ret3,FRet2,0.008713996791064438,0.19902184267575032,0.09334879105304172
Ret2,FRet6,0.00862573093158725,0.08213785894637829,0.09287481322504619
Ret6,FRet7,0.007929850466285027,0.12894612096459543,0.0890497078394158
Ret3,FRet3,0.006032560806058629,0.16997008711681652,0.07766956164456301
Ret4,FRet2,0.004740609658109851,-0.04823345350670203,-0.06885208535774215
Ret3,FRet4,0.004154539621918918,0.14769073133823027,0.06445571830271618
Ret4,FRet4,0.004124052305278014,-0.04834962229326737,-0.06421878467612242
Ret5,FRet5,0.003598715194962687,-0.15608110703089817,-0.05998929233590537
Ret7,FRet7,0.003350318407824515,-0.05904280820766211,-0.05788193507325613
Ret9,FRet1,0.0031632781683089695,0.017720094783474333,0.056243027730633256
Ret5,FRet6,0.0030977626534892666,0.05736156696321852,0.055657548036984396
Ret5,FRet2,0.003092423426568458,-0.1289116176891765,-0.05560956236627534
Ret7,FRet2,0.0028205923551504197,0.04739880854681045,0.053109249242956805
Ret4,FRet5,0.0028115979522034262,-0.041690959081633,-0.053024503318778234
Ret2,FRet3,0.0023840415086910927,0.09969596309907872,0.04882664752664465
Ret9,FRet7,0.002350216997249688,0.03035231491282879,0.04847903667823506
Ret4,FRet3,0.0023094181877243436,-0.03455509956856537,-0.04805640631304568
Ret2,FRet4,0.002240837348379099,0.10120360420984467,0.04733748354506355
Ret1,FRet1,0.0020046464934243557,-0.05894509535775868,-0.04477327878795831
Ret3,FRet5,0.001896542764450504,0.10420951673504482,0.043549314167394104
Ret1,FRet5,0.0018569127138164943,0.11070629736149397,0.04309191007389088
Ret8,FRet7,0.0017613813226998731,0.03593384295420398,0.041968813691835256
Ret6,FRet6,0.0014131168845057385,0.021173491591654922,0.03759144695945745
Ret6,FRet2,0.0012437978917481107,-0.04468111378714935,-0.035267518933834605
Ret5,FRet4,0.0011760813387655666,-0.08543995360820697,-0.0342940423217447
Ret9,FRet3,0.0011084399480554286,0.018719611005300348,0.033293241777505964
Ret5,FRet3,0.0010739668795349822,-0.07797719757179959,-0.032771433895010735
Ret8,FRet2,0.0009920864235635207,-0.02359527397401879,-0.031497403441610373
Ret9,FRet6,0.0009455864204418463,0.007488866804561415,0.030750388947813432
Ret2,FRet2,0.0009167363003094176,0.06023005826027202,0.030277653480900037
Ret7,FRet5,0.0008565319931360671,0.02931588938591697,0.029266567840044867
Ret9,FRet4,0.0008506228856346443,0.01717036044933645,0.02916543991841491
Ret5,FRet1,0.0008421298271172883,0.03869174502521976,0.029019473239831693
Ret2,FRet5,0.0007647169464415349,0.06174125358063013,0.02765351598696713
Ret1,FRet3,0.0004490213990346881,0.04978582190881694,0.0211901250358471
Ret6,FRet3,0.00042298357103098816,-0.02674486621884447,-0.02056656439542405
Ret7,FRet6,0.00041913735780130246,-0.00812324971911426,-0.020472844399382656
Ret7,FRet1,0.00032479517706651695,-0.009250991031342637,-0.018022074715924756
Ret5,FRet7,0.00032332809309876254,0.04764211161553535,0.017981326233037685
Ret4,FRet6,0.0003221190718918354,0.005589768670855339,0.017947675946812604
Ret6,FRet5,0.00030820622921623464,-0.024963403994502264,-0.017555803291675935
Ret8,FRet6,0.00018535834575705845,0.004534304685126973,0.01361463718786115
Ret9,FRet5,0.0001850690168134772,-0.008363961268812881,-0.013604007380673331
Ret7,FRet4,0.00017963990317459988,0.012855779424855987,0.013402981130130314
Ret7,FRet3,0.00014876367806504476,0.011173141899982668,0.012196871650763563
Ret6,FRet4,0.00014375714753045443,-0.016325389399932323,-0.011989876877208651
Ret3,FRet6,9.96390798405633e-05,0.009461527476635862,0.009981937679664871
Ret4,FRet1,9.957241679658946e-05,0.0040205641453234155,0.009978597937415764
Ret1,FRet4,9.932588051420055e-05,0.024517349568334276,0.009966237028796404
Ret8,FRet5,9.290190070732063e-05,-0.00810394692090762,-0.009638563207621275
Ret8,FRet1,7.031384515310268e-05,0.0036129080322398854,0.008385335124661898
Ret3,FRet1,4.270346258672397e-05,0.008013270473411091,0.006534788641307209
Ret2,FRet1,3.422217579263087e-05,0.0066931581845443705,0.005849972289899483
Ret9,FRet2,8.368076721998463e-06,0.0015846157345652228,0.002892762818157023
Ret8,FRet3,8.048100853641493e-06,-0.002181356127420387,-0.002836917491522573
Ret1,FRet2,3.882607428229434e-06,0.004510288315435914,0.001970433309762013
Ret8,FRet4,3.4469810242798715e-06,-0.001494753093578071,-0.0018566047032947184
Ret6,FRet1,2.1929767335393535e-08,0.0001079076672296682,0.00014808702568797194
