Feature,Target,R2_Score,Coefficient,Correlation
Ret_12-24hr,Ret_fwd12hr,0.0072609220314363565,-0.1295437203712401,-0.08521104406963041
Ret_12-24hr,Ret_fwd1d,0.0069174607923955245,-0.1376951039359174,-0.08317127384136708
Ret_12-24hr,Ret_fwd6hr,0.006256781191567917,-0.11760044035786286,-0.07909981789844957
Ret_12-24hr,Ret_fwd1hr,0.005168668867816639,-0.08955985103243323,-0.07189345497203906
Ret_12-24hr,Ret_fwd3hr,0.00510750610595323,-0.09425537363754474,-0.07146681821624042
Ret_6-12hr,Ret_fwd12hr,0.0024474010316523076,0.18621483033433162,0.04947121417200408
Ret_1-3hr,Ret_fwd3hr,0.002129268697961151,0.17057399085554978,0.04614399958782445
Ret_1-3hr,Ret_fwd1hr,0.0019520476848706725,0.15426418977293857,0.04418198371362045
Ret_1-3hr,Ret_fwd6hr,0.001844840262407832,0.17898175082102927,0.04295160372335154
Ret_6-12hr,Ret_fwd3hr,0.001843130112920699,0.1401912431669203,0.04293169124226072
Ret_0-1hr,Ret_fwd12hr,0.0015419389355805224,0.1521821937077399,0.03926753029642437
Ret_0-1hr,Ret_fwd1d,0.001443297912447239,0.1603366888740078,0.03799076088271153
Ret_3-6hr,Ret_fwd12hr,0.0011292823925105333,-0.15216409571126255,-0.03360479716514704
Ret_1-2d,Ret_fwd1d,0.001125026175682331,-0.04662537883789797,-0.033541409864261774
Ret_1-3hr,Ret_fwd12hr,0.0010580510909259377,0.13860206542528533,0.03252769728901908
Ret_0-1hr,Ret_fwd6hr,0.0008834006331993605,0.11264763837733793,0.02972205634203898
Ret_6-12hr,Ret_fwd1hr,0.0008746590443140523,0.09121885587548062,0.02957463515098635
Ret_1-2d,Ret_fwd12hr,0.0008057960336446124,-0.03623505762608788,-0.028386546701645338
Ret_1-3hr,Ret_fwd1d,0.0006822073625776248,0.12119905951794459,0.026119099574403722
Ret_0-1hr,Ret_fwd3hr,0.0006422757806899826,0.08520640044235761,0.025343160432155662
Ret_3-6hr,Ret_fwd1d,0.0006362858271329319,-0.12438319325641158,-0.02522470668081055
Ret_1-2d,Ret_fwd1hr,0.0006034368848056859,-0.02569424428667906,-0.02456495236725831
Ret_1-2d,Ret_fwd6hr,0.0005956937013054109,-0.03046778506397062,-0.02440683718357371
Ret_0-1hr,Ret_fwd1hr,0.0004981657121658767,0.07087950856776853,0.0223196261654581
Ret_6-12hr,Ret_fwd6hr,0.00045394314046887096,0.07842877121288692,0.02130594143587694
Ret_3-6hr,Ret_fwd6hr,0.00045355579333039575,-0.09430598506891599,-0.021296849375679855
Ret_6-12hr,Ret_fwd1d,0.0003668053704012353,0.07850624500900552,0.01915216359582387
Ret_2-4d,Ret_fwd1hr,0.0002968730396598618,0.012960589137491882,0.0172300040528078
Ret_4-8d,Ret_fwd12hr,0.0002202463354796791,0.00995306434881004,0.014840698618310109
Ret_2-4d,Ret_fwd3hr,0.00021263830105899828,0.011612822154305211,0.01458212265271888
Ret_1-2d,Ret_fwd3hr,0.00019601084232745425,-0.015503781335507047,-0.014000387220623772
Ret_3-6hr,Ret_fwd3hr,0.00017996163164379908,-0.05269653569930079,-0.01341497788458148
Ret_3-6hr,Ret_fwd1hr,0.0001647569546896488,-0.047625145755977746,-0.01283576856637607
Ret_4-8d,Ret_fwd3hr,0.00010449692187375348,-0.005947513116519267,-0.010222373592942346
Ret_2-4d,Ret_fwd1d,9.411266708336807e-05,-0.009698052744109755,-0.009701168335999896
Ret_4-8d,Ret_fwd1hr,4.696268320469876e-05,-0.0037660184752871667,-0.006852932452943156
Ret_2-4d,Ret_fwd12hr,3.982223164167298e-05,0.005792934686828529,0.006310485848314055
Ret_4-8d,Ret_fwd1d,4.273744126814805e-06,0.0015098416136590006,0.0020673035884742215
Ret_4-8d,Ret_fwd6hr,3.7508105458217145e-06,-0.0012702172783065442,-0.0019367009438295516
Ret_2-4d,Ret_fwd6hr,1.1675692257462345e-07,-0.00030675393326158986,-0.00034169712101988933
