datetime,bar_index,trade_type,price,size,signal_value,exec_bars,pnl,cumulative_profit,is_entry,is_exit
84,84,BUY,91.98737634507684,1.0,1.0,1,0.0,0.0,True,False
105,105,SELL,87.8925632553864,1.0,0.0,1,-4.094813089690433,-4.094813089690433,False,True
129,129,BUY,92.70038223004494,1.0,1.0,1,0.0,-4.094813089690433,True,False
150,150,SELL,89.1229172769912,1.0,0.0,1,-3.5774649530537346,-7.672278042744168,False,True
172,172,BUY,92.02487607157354,1.0,1.0,1,0.0,-7.672278042744168,True,False
258,258,SELL,102.14125326335864,1.0,0.0,1,10.11637719178509,2.444099149040923,False,True
264,264,BUY,98.09647463709,1.0,1.0,1,0.0,2.444099149040923,True,False
266,266,SELL,96.64724748186964,1.0,0.0,1,-1.4492271552203562,0.994871993820567,False,True
309,309,BUY,101.26363993421845,1.0,1.0,1,0.0,0.994871993820567,True,False
357,357,SELL,103.4012834336054,1.0,0.0,1,2.1376434993869537,3.1325154932075208,False,True
380,380,BUY,112.33818553275366,1.0,1.0,1,0.0,3.1325154932075208,True,False
421,421,SELL,113.47138965736691,1.0,0.0,1,1.1332041246132576,4.265719617820778,False,True
425,425,BUY,117.09175435227714,1.0,1.0,1,0.0,4.265719617820778,True,False
457,457,SELL,108.32554169032292,1.0,0.0,1,-8.766212661954214,-4.500493044133435,False,True
498,498,BUY,108.6225757009377,1.0,1.0,1,0.0,-4.500493044133435,True,False
516,516,SELL,104.08089390672112,1.0,0.0,1,-4.541681794216586,-9.042174838350022,False,True
593,593,BUY,95.55995362916664,1.0,1.0,1,0.0,-9.042174838350022,True,False
654,654,SELL,98.47980845509842,1.0,0.0,1,2.919854825931779,-6.122320012418243,False,True
777,777,BUY,96.09229594251424,1.0,1.0,1,0.0,-6.122320012418243,True,False
953,953,SELL,125.74612097643094,1.0,0.0,1,29.653825033916704,23.53150502149846,False,True
969,969,BUY,138.56039810804236,1.0,1.0,1,0.0,23.53150502149846,True,False
993,993,SELL,127.16034424736206,1.0,0.0,1,-11.400053860680302,12.131451160818159,False,True
