trade_num,date,target_value,pnl,cumsum_pnl,pnl_decimal,portfolio_value,compound_return_pct,actual_profitable,hit_rate_cumulative,drawdown,drawdown_pct
1,2014-06-03 16:50:00,0.0027,-0.0027,-0.0027,-2.7000000000000002e-05,99.9973,-0.0027000000000043656,1,1.0,0.0,-0.0
2,2014-06-06 16:50:00,0.0293,-0.0293,-0.032,-0.000293,99.9680007911,-0.03199920890000385,1,1.0,-0.0293,1085.1851851851852
3,2014-06-09 16:50:00,-0.1757,0.1757,0.1437,0.0017569999999999999,100.14364456848996,0.143644568489961,0,0.6666666666666666,0.0,0.0
4,2014-06-10 16:50:00,-0.1587,0.1587,0.3024,0.001587,100.30257253242016,0.30257253242015736,0,0.5,0.0,0.0
5,2014-06-12 16:50:00,0.0052,-0.0052,0.2972,-5.2e-05,100.29735679864847,0.2973567986484653,1,0.6,-0.005199999999999982,-1.7195767195767135
6,2014-06-13 16:50:00,-0.3498,0.3498,0.647,0.003498,100.64819695273013,0.6481969527301317,0,0.5,0.0,0.0
7,2014-06-17 16:50:00,0.1993,-0.1993,0.4477,-0.001993,100.44760509620333,0.44760509620333266,1,0.5714285714285714,-0.19930000000000003,-30.80370942812983
8,2014-06-18 16:50:00,0.0026,-0.0026,0.4451,-2.6e-05,100.44499345847083,0.44499345847083305,1,0.625,-0.20190000000000002,-31.205564142194746
9,2014-06-19 16:50:00,0.4721,-0.4721,-0.027000000000000024,-0.004721,99.9707926443534,-0.029207355646605038,1,0.6666666666666666,-0.674,-104.17310664605874
10,2014-06-20 16:50:00,0.2002,-0.2002,-0.2272,-0.002002,99.7706511174794,-0.22934888252059693,1,0.7,-0.8742000000000001,-135.1159196290572
11,2014-06-23 16:50:00,0.1492,-0.1492,-0.3764,-0.001492,99.62179330601212,-0.37820669398787743,1,0.7272727272727273,-1.0234,-158.17619783616695
12,2014-06-24 16:50:00,0.4651,-0.4651,-0.8415,-0.004651,99.15845234534586,-0.8415476546541356,1,0.75,-1.4885000000000002,-230.06182380216384
13,2014-06-26 16:50:00,-0.1721,0.1721,-0.6694,0.001721,99.32910404183221,-0.6708959581677902,0,0.6923076923076923,-1.3164,-203.46213292117463
14,2014-06-27 16:50:00,0.0582,-0.0582,-0.7276,-0.000582,99.27129450327986,-0.7287054967201385,1,0.7142857142857143,-1.3746,-212.45749613601234
15,2014-06-30 16:50:00,-0.0025,0.0025,-0.7251000000000001,2.5e-05,99.27377628564244,-0.726223714357559,0,0.6666666666666666,-1.3721,-212.07109737248842
16,2014-07-07 16:50:00,0.1691,-0.1691,-0.8942000000000001,-0.001691,99.10590432994341,-0.8940956700565863,1,0.6875,-1.5412000000000001,-238.20710973724886
17,2014-07-08 16:50:00,-0.298,0.298,-0.5962000000000001,0.00298,99.40123992484665,-0.5987600751533506,0,0.6470588235294118,-1.2432,-192.1483771251932
18,2014-07-09 16:50:00,-0.1556,0.1556,-0.4406000000000001,0.0015559999999999999,99.5559082541697,-0.4440917458303062,0,0.6111111111111112,-1.0876000000000001,-168.09891808346217
19,2014-07-10 16:50:00,-0.1646,0.1646,-0.27600000000000013,0.001646,99.71977727915606,-0.2802227208439376,0,0.5789473684210527,-0.9230000000000002,-142.65842349304484
20,2014-07-11 16:50:00,0.4927,-0.4927,-0.7687000000000002,-0.004927,99.22845793650166,-0.7715420634983445,1,0.6,-1.4157000000000002,-218.80989180834624
21,2014-07-14 16:50:00,-0.0204,0.0204,-0.7483000000000002,0.00020400000000000003,99.24870054192071,-0.7512994580792878,0,0.5714285714285714,-1.3953000000000002,-215.65687789799077
22,2014-07-15 16:50:00,-0.1519,0.1519,-0.5964000000000002,0.0015190000000000002,99.3994593180439,-0.6005406819561045,0,0.5454545454545454,-1.2434000000000003,-192.17928902627514
23,2014-07-17 16:50:00,0.197,-0.197,-0.7934000000000001,-0.00197,99.20364238318734,-0.7963576168126565,1,0.5652173913043478,-1.4404000000000001,-222.62751159196293
24,2014-07-18 16:50:00,-0.0051,0.0051,-0.7883000000000001,5.1000000000000006e-05,99.20870176894888,-0.7912982310511154,0,0.5416666666666666,-1.4353000000000002,-221.83925811437408
25,2014-07-21 16:50:00,0.0152,-0.0152,-0.8035000000000001,-0.000152,99.19362204628,-0.806377953720002,1,0.56,-1.4505000000000001,-224.18856259659972
26,2014-07-23 16:50:00,0.5312,-0.5312,-1.3347000000000002,-0.005312,98.66670552597016,-1.3332944740298416,1,0.5769230769230769,-1.9817000000000002,-306.2905718701701
27,2014-07-24 16:50:00,0.1649,-0.1649,-1.4996000000000003,-0.0016489999999999999,98.50400412855784,-1.4959958714421617,1,0.5925925925925926,-2.1466000000000003,-331.77743431221023
28,2014-07-25 16:50:00,0.2244,-0.2244,-1.7240000000000002,-0.002244,98.28296114329335,-1.717038856706651,1,0.6071428571428571,-2.3710000000000004,-366.4605873261206
29,2014-07-28 16:50:00,-0.1457,0.1457,-1.5783000000000003,0.001457,98.42615941767913,-1.5738405823208694,0,0.5862068965517241,-2.2253000000000003,-343.9412673879444
30,2014-07-29 16:50:00,-0.0077,0.0077,-1.5706000000000002,7.7e-05,98.43373823195431,-1.5662617680456918,0,0.5666666666666667,-2.2176,-342.7511591962906
31,2014-07-30 16:50:00,0.1233,-0.1233,-1.6939000000000002,-0.0012330000000000002,98.3123694327143,-1.6876305672856944,1,0.5806451612903226,-2.3409000000000004,-361.80834621329217
32,2014-07-31 16:50:00,-0.0545,0.0545,-1.6394000000000002,0.000545,98.36594967405513,-1.6340503259448695,0,0.5625,-2.2864000000000004,-353.38485316846993
33,2014-08-04 16:50:00,-0.0776,0.0776,-1.5618000000000003,0.000776,98.4422816510022,-1.5577183489977955,0,0.5454545454545454,-2.2088,-341.39103554868626
34,2014-08-05 16:50:00,-0.1241,0.1241,-1.4377000000000002,0.001241,98.56444852253111,-1.4355514774688913,0,0.5294117647058824,-2.0847,-322.21020092735705
35,2014-08-06 16:50:00,-0.0612,0.0612,-1.3765000000000003,0.000612,98.6247699650269,-1.3752300349731001,0,0.5142857142857142,-2.0235000000000003,-312.7511591962906
36,2014-08-07 16:50:00,-0.2969,0.2969,-1.0796000000000003,0.002969,98.91758690705306,-1.0824130929469362,0,0.5,-1.7266000000000004,-266.8624420401855
37,2014-08-08 16:50:00,0.244,-0.244,-1.3236000000000003,-0.00244,98.67622799499985,-1.3237720050001514,1,0.5135135135135135,-1.9706000000000004,-304.57496136012367
38,2014-08-11 16:50:00,0.1527,-0.1527,-1.4763000000000004,-0.001527,98.5255493948515,-1.4744506051485047,1,0.5263157894736842,-2.1233000000000004,-328.176197836167
39,2014-08-13 16:50:00,-0.0457,0.0457,-1.4306000000000003,0.000457,98.57057557092493,-1.4294244290750697,0,0.5128205128205128,-2.0776000000000003,-321.112828438949
40,2014-08-14 16:50:00,0.0913,-0.0913,-1.5219000000000003,-0.0009130000000000001,98.48058063542867,-1.519419364571334,1,0.525,-2.1689000000000003,-335.2241112828439
41,2014-08-15 16:50:00,0.337,-0.337,-1.8589000000000002,-0.00337,98.14870107868727,-1.8512989213127327,1,0.5365853658536586,-2.5059000000000005,-387.3106646058733
42,2014-08-18 16:50:00,-0.1103,0.1103,-1.7486000000000002,0.001103,98.25695909597707,-1.7430409040229335,0,0.5238095238095238,-2.3956,-370.2627511591963
43,2014-08-21 16:50:00,-0.167,0.167,-1.5816000000000001,0.00167,98.42104821766735,-1.578951782332652,0,0.5116279069767442,-2.2286,-344.451313755796
44,2014-08-22 16:50:00,0.3303,-0.3303,-1.9119000000000002,-0.003303,98.0959634954044,-1.9040365045955951,1,0.5227272727272727,-2.5589000000000004,-395.50231839258123
45,2014-08-26 16:50:00,-0.1794,0.1794,-1.7325000000000002,0.001794,98.27194765391516,-1.7280523460848372,0,0.5111111111111111,-2.3795,-367.77434312210204
46,2014-08-29 16:50:00,0.0155,-0.0155,-1.7480000000000002,-0.000155,98.25671550202881,-1.7432844979711888,1,0.5217391304347826,-2.3950000000000005,-370.1700154559506
47,2014-09-02 16:50:00,-0.1001,0.1001,-1.6479000000000001,0.001001,98.35507047424635,-1.6449295257536534,0,0.5106382978723404,-2.2949,-354.6986089644513
48,2014-09-03 16:50:00,-0.2519,0.2519,-1.3960000000000001,0.002519,98.60282689677096,-1.3971731032290364,0,0.5,-2.043,-315.76506955177746
49,2014-09-05 16:50:00,-0.1129,0.1129,-1.2831000000000001,0.001129,98.71414948833741,-1.2858505116625878,0,0.4897959183673469,-1.9301000000000001,-298.3153013910356
50,2014-09-08 16:50:00,0.0026,-0.0026,-1.2857,-2.6e-05,98.71158292045072,-1.2884170795492764,1,0.5,-1.9327,-298.71715610510046
51,2014-09-09 16:50:00,-0.0717,0.0717,-1.214,0.000717,98.7823591254047,-1.217640874595304,0,0.49019607843137253,-1.861,-287.6352395672334
52,2014-09-10 16:50:00,0.064,-0.064,-1.278,-0.00064,98.71913841556444,-1.2808615844355558,1,0.5,-1.925,-297.52704791344667
53,2014-09-11 16:50:00,0.494,-0.494,-1.772,-0.00494,98.23146587179156,-1.7685341282084437,1,0.5094339622641509,-2.419,-373.87944358578056
54,2014-09-16 16:50:00,-0.1267,0.1267,-1.6453,0.0012670000000000001,98.35592513905111,-1.6440748609488907,0,0.5,-2.2923,-354.2967542503864
55,2014-09-18 16:50:00,-0.2013,0.2013,-1.444,0.002013,98.55391561635602,-1.4460843836439778,0,0.4909090909090909,-2.091,-323.1839258114374
56,2014-09-22 16:50:00,-0.2304,0.2304,-1.2136,0.002304,98.78098383793612,-1.2190161620638804,0,0.48214285714285715,-1.8606,-287.57341576506957
57,2014-09-23 16:50:00,-0.0136,0.0136,-1.2,0.000136,98.79441805173808,-1.2055819482619228,0,0.47368421052631576,-1.847,-285.4714064914992
58,2014-09-24 16:50:00,0.1588,-0.1588,-1.3588,-0.001588,98.63753251587191,-1.3624674841280893,1,0.4827586206896552,-2.0058,-310.0154559505409
59,2014-09-25 16:50:00,-0.2264,0.2264,-1.1324,0.002264,98.86084788948784,-1.139152110512157,0,0.4745762711864407,-1.7794,-275.02318392581145
60,2014-09-30 16:50:00,0.1407,-0.1407,-1.2731000000000001,-0.0014069999999999998,98.72175067650733,-1.2782493234926733,1,0.48333333333333334,-1.9201000000000001,-296.76970633693975
61,2014-10-01 16:50:00,-0.604,0.604,-0.6691000000000001,0.00604,99.31803005059344,-0.6819699494065645,0,0.47540983606557374,-1.3161,-203.41576506955178
62,2014-10-02 16:50:00,0.1564,-0.1564,-0.8255000000000001,-0.001564,99.1626966515943,-0.8373033484056975,1,0.4838709677419355,-1.4725000000000001,-227.58887171561054
63,2014-10-06 16:50:00,0.1491,-0.1491,-0.9746000000000001,-0.0014910000000000001,99.01484507088678,-0.9851549291132216,1,0.49206349206349204,-1.6216000000000002,-250.6336939721793
64,2014-10-07 16:50:00,-0.2812,0.2812,-0.6934000000000001,0.0028120000000000003,99.29327481522611,-0.7067251847738873,0,0.484375,-1.3404000000000003,-207.17156105100466
65,2014-10-08 16:50:00,-0.2811,0.2811,-0.4123000000000001,0.002811,99.5723882107317,-0.42761178926829757,0,0.47692307692307695,-1.0593000000000001,-163.72488408037097
66,2014-10-13 16:50:00,0.1322,-0.1322,-0.5445000000000001,-0.001322,99.44075351351711,-0.5592464864828912,1,0.48484848484848486,-1.1915,-184.15765069551776
67,2014-10-14 16:50:00,0.4246,-0.4246,-0.9691000000000001,-0.004246,99.01852807409871,-0.981471925901289,1,0.4925373134328358,-1.6161,-249.7836166924266
68,2014-10-15 16:50:00,0.0349,-0.0349,-1.004,-0.000349,98.98397060780084,-1.016029392199158,1,0.5,-1.651,-255.17774343122102
69,2014-10-16 16:50:00,-0.0054,0.0054,-0.9986,5.4000000000000005e-05,98.98931574221366,-1.0106842577863375,0,0.4927536231884058,-1.6456,-254.34312210200923
70,2014-10-17 16:50:00,0.1857,-0.1857,-1.1843000000000001,-0.0018570000000000001,98.80549258288038,-1.194507417119624,1,0.5,-1.8313000000000001,-283.04482225656875
71,2014-10-20 16:50:00,-0.0214,0.0214,-1.1629,0.000214,98.82663695829311,-1.1733630417068923,0,0.49295774647887325,-1.8099,-279.7372488408037
72,2014-10-22 16:50:00,-0.0886,0.0886,-1.0743,0.000886,98.91419735863815,-1.0858026413618518,0,0.4861111111111111,-1.7213,-266.0432766615147
73,2014-10-23 16:50:00,0.1109,-0.1109,-1.1852,-0.001109,98.80450151376742,-1.1954984862325801,1,0.4931506849315068,-1.8322,-283.1839258114374
74,2014-10-29 16:50:00,-0.0605,0.0605,-1.1247,0.000605,98.86427823718324,-1.1357217628167575,0,0.4864864864864865,-1.7717,-273.83307573415766
75,2014-10-30 16:50:00,-0.0,0.0,-1.1247,0.0,98.86427823718324,-1.1357217628167575,0,0.48,-1.7717,-273.83307573415766
76,2014-10-31 16:50:00,0.3327,-0.3327,-1.4574,-0.003327,98.53535678348814,-1.4646432165118597,1,0.4868421052631579,-2.1044,-325.2550231839258
77,2014-11-06 16:50:00,0.1665,-0.1665,-1.6239000000000001,-0.001665,98.37129541444364,-1.6287045855563633,1,0.4935064935064935,-2.2709,-350.9891808346214
78,2014-11-07 16:50:00,0.3739,-0.3739,-1.9978000000000002,-0.003739,98.00348514088903,-1.9965148591109738,1,0.5,-2.6448,-408.7789799072643
79,2014-11-10 16:50:00,0.1709,-0.1709,-2.1687000000000003,-0.001709,97.83599718478325,-2.1640028152167474,1,0.5063291139240507,-2.8157000000000005,-435.19319938176204
80,2014-11-11 16:50:00,0.0631,-0.0631,-2.2318000000000002,-0.000631,97.77426267055965,-2.2257373294403493,1,0.5125,-2.8788,-444.94590417310667
81,2014-11-12 16:50:00,-0.2381,0.2381,-1.9937000000000002,0.002381,98.00706318997825,-1.992936810021746,0,0.5061728395061729,-2.6407000000000003,-408.14528593508504
82,2014-11-14 16:50:00,0.0617,-0.0617,-2.0554,-0.0006169999999999999,97.94659283199005,-2.0534071680099544,1,0.5121951219512195,-2.7024,-417.68160741885623
83,2014-11-17 16:50:00,-0.0141,0.0141,-2.0413,0.00014099999999999998,97.96040330157935,-2.0395966984206524,0,0.5060240963855421,-2.6883,-415.5023183925811
84,2014-11-18 16:50:00,0.326,-0.326,-2.3673,-0.0032600000000000003,97.6410523868162,-2.358947613183801,1,0.5119047619047619,-3.0143000000000004,-465.88871715610514
85,2014-11-20 16:50:00,-0.0419,0.0419,-2.3254,0.000419,97.68196398776627,-2.3180360122337333,0,0.5058823529411764,-2.9724000000000004,-459.4126738794437
86,2014-11-21 16:50:00,0.0971,-0.0971,-2.4225000000000003,-0.0009710000000000001,97.58711480073414,-2.412885199265858,1,0.5116279069767442,-3.0695000000000006,-474.42040185471416
87,2014-11-24 16:50:00,0.0752,-0.0752,-2.4977000000000005,-0.0007520000000000001,97.51372929040399,-2.4862707095960133,1,0.5172413793103449,-3.1447000000000003,-486.04327666151465
88,2014-11-25 16:50:00,0.2222,-0.2222,-2.7199000000000004,-0.002222,97.29705378392072,-2.702946216079283,1,0.5227272727272727,-3.3669000000000002,-520.386398763524
89,2014-11-26 16:50:00,0.9353,-0.9353,-3.6552000000000007,-0.009353,96.38703443987971,-3.612965560120287,1,0.5280898876404494,-4.302200000000001,-664.9459041731068
90,2014-12-01 16:50:00,0.575,-0.575,-4.230200000000001,-0.00575,95.8328089918504,-4.167191008149601,1,0.5333333333333333,-4.877200000000001,-753.8176197836169
91,2014-12-02 16:50:00,-0.192,0.192,-4.038200000000001,0.00192,96.01680798511474,-3.9831920148852618,0,0.5274725274725275,-4.685200000000001,-724.1421947449769
92,2014-12-03 16:50:00,0.3114,-0.3114,-4.349600000000001,-0.003114,95.7178116450491,-4.282188354950904,1,0.532608695652174,-4.996600000000001,-772.272024729521
93,2014-12-04 16:50:00,0.2627,-0.2627,-4.6123,-0.002627,95.46636095385755,-4.533639046142454,1,0.5376344086021505,-5.2593000000000005,-812.8748068006183
94,2014-12-05 16:50:00,-0.0559,0.0559,-4.5564,0.000559,95.51972664963075,-4.480273350369245,0,0.5319148936170213,-5.2034,-804.2349304482226
95,2014-12-08 16:50:00,0.2243,-0.2243,-4.7807,-0.002243,95.30547590275563,-4.6945240972443685,1,0.5368421052631579,-5.427700000000001,-838.9026275115921
96,2014-12-09 16:50:00,0.0298,-0.0298,-4.8105,-0.000298,95.2770748709366,-4.722925129063398,1,0.5416666666666666,-5.4575000000000005,-843.5085007727976
97,2014-12-10 16:50:00,-0.201,0.201,-4.609500000000001,0.00201,95.46858179142718,-4.531418208572816,0,0.5360824742268041,-5.256500000000001,-812.4420401854716
98,2014-12-11 16:50:00,0.4505,-0.4505,-5.0600000000000005,-0.004505,95.03849583045681,-4.96150416954319,1,0.5408163265306123,-5.707000000000001,-882.0710973724886
