TRADE LIST
==================================================

 1. 2020-01-02 02:10 | Buy 100 @ $4064.06
 2. 2020-01-02 17:38 | Sell 200 @ $4078.16
 3. 2020-01-03 09:07 | Buy 300 @ $4140.65
 4. 2020-01-04 00:35 | Sell 400 @ $4263.78
 5. 2020-01-04 16:04 | Buy 500 @ $4253.72
 6. 2020-01-05 07:32 | Sell 600 @ $4223.53
 7. 2020-01-05 23:01 | Buy 700 @ $4284.26
 8. 2020-01-06 14:30 | Sell 800 @ $4382.25
 9. 2020-01-07 05:58 | Buy 900 @ $4406.20
10. 2020-01-07 21:27 | Sell 1000 @ $4409.08
11. 2020-01-08 12:55 | Buy 1100 @ $4421.17
12. 2020-01-09 04:24 | Sell 1200 @ $4361.85
13. 2020-01-09 19:52 | Buy 1300 @ $4331.30
14. 2020-01-10 11:21 | Sell 1400 @ $4344.35
15. 2020-01-11 02:50 | Buy 1500 @ $4190.11
