Signal,Phase,Bar,Type,Open,High,Low,Close,HLC3_Calculated,Size,Weight
Entry_100,1,100,Entry,6271.5,6272.25,6271.5,6272.0,6271.916666666667,2000.0,0.2
Entry_100,2,101,Entry,6272.0,6272.75,6272.0,6272.25,6272.333333333333,2000.0,0.2
Entry_100,3,102,Entry,6272.5,6272.75,6272.0,6272.0,6272.25,2000.0,0.2
Entry_100,4,103,Entry,6272.0,6272.25,6272.0,6272.0,6272.083333333333,2000.0,0.2
Entry_100,5,104,Entry,6271.75,6272.25,6270.0,6270.5,6270.916666666667,2000.0,0.2
Exit_500,1,500,Exit,6264.25,6265.25,6264.25,6264.75,6264.75,20.0%,0.2
Exit_500,2,501,Exit,6264.75,6265.0,6263.25,6264.0,6264.083333333333,20.0%,0.2
Exit_500,3,502,Exit,6264.0,6264.75,6263.5,6264.75,6264.333333333333,20.0%,0.2
Exit_500,4,503,Exit,6264.75,6265.25,6264.25,6264.25,6264.583333333333,20.0%,0.2
Exit_500,5,504,Exit,6264.25,6265.25,6264.25,6265.25,6264.916666666667,20.0%,0.2
Entry_1000,1,1000,Entry,6291.5,6293.0,6290.5,6292.25,6291.916666666667,2000.0,0.2
Entry_1000,2,1001,Entry,6292.25,6293.25,6291.75,6292.75,6292.583333333333,2000.0,0.2
Entry_1000,3,1002,Entry,6293.0,6293.25,6291.5,6293.0,6292.583333333333,2000.0,0.2
Entry_1000,4,1003,Entry,6293.0,6293.5,6291.25,6291.75,6292.166666666667,2000.0,0.2
Entry_1000,5,1004,Entry,6292.0,6292.75,6291.5,6292.25,6292.166666666667,2000.0,0.2
Exit_1400,1,1400,Exit,6304.0,6304.25,6303.5,6304.0,6303.916666666667,20.0%,0.2
Exit_1400,2,1401,Exit,6304.0,6304.5,6303.5,6303.5,6303.833333333333,20.0%,0.2
Exit_1400,3,1402,Exit,6303.75,6303.75,6303.0,6303.25,6303.333333333333,20.0%,0.2
Exit_1400,4,1403,Exit,6303.25,6303.75,6303.25,6303.5,6303.5,20.0%,0.2
Exit_1400,5,1404,Exit,6303.75,6304.0,6303.25,6303.5,6303.583333333333,20.0%,0.2
Entry_2000,1,2000,Entry,6327.25,6329.0,6327.25,6327.5,6327.916666666667,2000.0,0.2
Entry_2000,2,2001,Entry,6327.75,6327.75,6327.0,6327.0,6327.25,2000.0,0.2
Entry_2000,3,2002,Entry,6327.25,6329.0,6327.25,6328.75,6328.333333333333,2000.0,0.2
Entry_2000,4,2003,Entry,6329.0,6329.0,6328.25,6328.75,6328.666666666667,2000.0,0.2
Entry_2000,5,2004,Entry,6329.0,6330.5,6329.0,6330.5,6330.0,2000.0,0.2
Exit_2400,1,2400,Exit,6300.75,6304.75,6300.75,6301.75,6302.416666666667,20.0%,0.2
Exit_2400,2,2401,Exit,6301.75,6304.75,6301.5,6303.25,6303.166666666667,20.0%,0.2
Exit_2400,3,2402,Exit,6303.0,6305.5,6303.0,6305.25,6304.583333333333,20.0%,0.2
Exit_2400,4,2403,Exit,6305.25,6306.5,6304.25,6305.5,6305.416666666667,20.0%,0.2
Exit_2400,5,2404,Exit,6305.5,6306.75,6304.0,6305.25,6305.333333333333,20.0%,0.2
