MA1,MA2,Total_Return,Win_Loss_Ratio,Sharpe_Ratio,Trade_Count,Avg_Trade,Max_Drawdown,Status
10,100,0,0,0,0,0,0,Failed: 'Portfolio' object has no attribute 'values'
10,200,0,0,0,0,0,0,Failed: 'Portfolio' object has no attribute 'values'
10,300,0,0,0,0,0,0,Failed: 'Portfolio' object has no attribute 'values'
10,400,0,0,0,0,0,0,Failed: 'Portfolio' object has no attribute 'values'
10,500,0,0,0,0,0,0,Failed: 'Portfolio' object has no attribute 'values'
20,100,0,0,0,0,0,0,Failed: 'Portfolio' object has no attribute 'values'
20,200,0,0,0,0,0,0,Failed: 'Portfolio' object has no attribute 'values'
20,300,0,0,0,0,0,0,Failed: 'Portfolio' object has no attribute 'values'
20,400,0,0,0,0,0,0,Failed: 'Portfolio' object has no attribute 'values'
20,500,0,0,0,0,0,0,Failed: 'Portfolio' object has no attribute 'values'
30,100,0,0,0,0,0,0,Failed: 'Portfolio' object has no attribute 'values'
30,200,0,0,0,0,0,0,Failed: 'Portfolio' object has no attribute 'values'
30,300,0,0,0,0,0,0,Failed: 'Portfolio' object has no attribute 'values'
30,400,0,0,0,0,0,0,Failed: 'Portfolio' object has no attribute 'values'
30,500,0,0,0,0,0,0,Failed: 'Portfolio' object has no attribute 'values'
40,100,0,0,0,0,0,0,Failed: 'Portfolio' object has no attribute 'values'
40,200,0,0,0,0,0,0,Failed: 'Portfolio' object has no attribute 'values'
40,300,0,0,0,0,0,0,Failed: 'Portfolio' object has no attribute 'values'
40,400,0,0,0,0,0,0,Failed: 'Portfolio' object has no attribute 'values'
40,500,0,0,0,0,0,0,Failed: 'Portfolio' object has no attribute 'values'
50,100,0,0,0,0,0,0,Failed: 'Portfolio' object has no attribute 'values'
50,200,0,0,0,0,0,0,Failed: 'Portfolio' object has no attribute 'values'
50,300,0,0,0,0,0,0,Failed: 'Portfolio' object has no attribute 'values'
50,400,0,0,0,0,0,0,Failed: 'Portfolio' object has no attribute 'values'
50,500,0,0,0,0,0,0,Failed: 'Portfolio' object has no attribute 'values'
