MA1,MA2,Total_Return,Win_Loss_Ratio,Sharpe_Ratio,Trade_Count,Avg_Trade,Max_Drawdown,Status
10,100,-99.99999999999841,0.07534524776604387,-30.876590780065783,15885,-6.295247088448128,-99.9999999999983,Success
10,200,-99.99999999999861,0.0843514875405536,-28.04355972900081,15709,-6.365777579731255,-99.99999999999812,Success
10,300,-99.9999999999983,0.080384296378214,-26.63044403207103,15631,-6.3975433433560465,-99.99999999999815,Success
10,400,-99.99999999999835,0.08410568543366995,-25.70509324908242,15674,-6.379992344009075,-99.99999999999817,Success
10,500,-99.99999999999842,0.08493037363849441,-25.116452952486235,15738,-6.354047528275404,-99.9999999999983,Success
20,100,-99.99999999999845,0.09795974445284056,-28.39274321747429,15983,-6.256647688168576,-99.99999999999827,Success
20,200,-99.9999999999983,0.100557880055788,-25.992350916071885,15782,-6.3363325307311,-99.99999999999817,Success
20,300,-99.99999999999837,0.10384965991164714,-24.96092080917443,15742,-6.3524329818319325,-99.9999999999983,Success
20,400,-99.99999999999814,0.10972358636172302,-23.282282676517646,15818,-6.321911746111899,-99.99999999999807,Success
20,500,-99.99999999999793,0.11353925894795826,-21.984609555458977,15898,-6.290099383570121,-99.99999999999784,Success
30,100,-99.99999999999841,0.10245449531163817,-27.36389913452489,15990,-6.253908692932977,-99.9999999999981,Success
30,200,-99.99999999999825,0.11201344161299356,-25.0271271482437,15884,-6.295643414756881,-99.99999999999817,Success
30,300,-99.999999999998,0.1205830074653395,-23.231125506059318,15761,-6.344775077723361,-99.99999999999812,Success
30,400,-99.99999999999794,0.1268880022798518,-21.536753869368965,15817,-6.3223114370612405,-99.9999999999977,Success
30,500,-99.99999999997394,0.13543670642554828,-19.36854729131218,14755,-6.7773636055556645,-99.9999999999741,Success
40,100,-99.99999999999841,0.10575190575190575,-26.923997071077412,15956,-6.267234895963797,-99.99999999999818,Success
40,200,-99.99999999999818,0.11691961776278809,-24.688952062596297,15896,-6.290890790135768,-99.99999999999818,Success
40,300,-99.99999999999804,0.13099935432957888,-22.074107050353632,15765,-6.343165239454354,-99.9999999999978,Success
40,400,-99.99999999998484,0.14223611958511287,-19.68052366561361,14977,-6.676904587032441,-99.9999999999848,Success
40,500,-99.99999999900531,0.1509015010214051,-17.083749349521728,12958,-7.717240314786646,-99.99999999900983,Success
50,100,-99.99999999999818,0.10572656683305602,-26.907164469996317,15949,-6.269985579033056,-99.99999999999827,Success
50,200,-99.99999999999811,0.12437105803982708,-23.985559274503053,15866,-6.302785831337328,-99.99999999999807,Success
50,300,-99.99999999999754,0.14117050557728525,-21.375137051841286,15755,-6.347191367819587,-99.99999999999777,Success
50,400,-99.99999999977021,0.15413279132791327,-18.004255462224453,13628,-7.3378338714242775,-99.99999999977123,Success
50,500,-99.99999999057258,0.16464317441516138,-15.653979028245637,11799,-8.475294515685446,-99.9999999906153,Success
